timestamp,route,distance_km,hour,day,day_of_week,travel_time_mins,speed_kmh,congestion,weather_condition,rainfall_status,holiday_indicator,school_holiday_indicator,school_hours_indicator,working_hours_indicator,office_rush_hour_indicator,event_indicator,event_type,event_severity,traffic_pressure_score
2026-05-07 12:41:47,Bokwango to Buea Town,8.38,13,Thursday,3,28.12,17.89,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Bonduma Gate to Mile 17,3.81,13,Thursday,3,10.9,20.99,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Bongo Square to Great Soppo,2.12,13,Thursday,3,5.53,23.03,Low,Clouds,No Rain,0,0,1,1,0,1,Great Soppo Market (OIC),Medium,25.0
2026-05-07 12:41:47,Buea Town to Malingo,5.04,13,Thursday,3,14.65,20.66,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Check Point to Buea Town,3.12,13,Thursday,3,8.03,23.32,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Check Point to Molyko,4.17,13,Thursday,3,11.68,21.43,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Clerks Quarters to Governor Junction,1.33,13,Thursday,3,2.62,30.54,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Governor Junction to Long Street,0.0,13,Thursday,3,0.0,0.0,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Great Soppo to Small Soppo,1.54,13,Thursday,3,6.05,15.32,Low,Clouds,No Rain,0,0,1,1,0,1,Great Soppo Market (OIC),Medium,25.0
2026-05-07 12:41:47,Long Street to Bongo Square,1.24,13,Thursday,3,2.18,33.94,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Malingo to UB Junction,3.47,13,Thursday,3,11.77,17.69,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Mile 16 to Mile 17,4.4,13,Thursday,3,12.12,21.8,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Mile 17 to Bonduma,4.2,13,Thursday,3,13.87,18.19,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Mile 17 to Malingo,1.54,13,Thursday,3,4.95,18.7,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
2026-05-07 12:41:47,Molyko to Bokwango,6.15,13,Thursday,3,22.13,16.68,Low,Clouds,No Rain,0,0,1,1,0,0,None,Low,25.0
